Job Role,Required Skills
QA Engineer,"Manual Testing, Automation Testing, Selenium, JUnit, TestNG, Bug Tracking, SDLC, Agile, API Testing, Test Documentation"
Product Manager,"Product Roadmap, Agile, Market Research, Communication, Analytics, Design Thinking, UX, Stakeholder Management"
Content Writer,"SEO, Copywriting, Research, Editing, Proofreading, Grammar, Creativity, Storytelling, WordPress"
Digital Marketing Specialist,"SEO, SEM, Google Ads, Social Media Marketing, Analytics, Content Marketing, Email Marketing, Keyword Research, Branding"
Graphic Designer,"Photoshop, Illustrator, Canva, Figma, Typography, Color Theory, Branding, Creativity, Visual Communication"
Blockchain Developer,"Solidity, Ethereum, Smart Contracts, Web3.js, Cryptography, Node.js, Decentralized Apps, Blockchain Architecture"
Game Designer,"Level Design, Game Mechanics, Storyboarding, User Experience, Creativity, Game Engines, Playtesting"
Mechanical Engineer,"AutoCAD, SolidWorks, CATIA, Thermodynamics, Fluid Mechanics, Manufacturing, GD&T, MATLAB, Project Management"
Electrical Engineer,"Circuit Design, MATLAB, Power Systems, Control Systems, PCB Design, Embedded Systems, Troubleshooting"
Civil Engineer,"AutoCAD, STAAD Pro, Revit, Construction Management, Structural Analysis, Estimation, Project Planning, Surveying"
AI Prompt Engineer,"Prompt Writing, NLP, Large Language Models, Python, OpenAI API, Context Understanding, Prompt Optimization"
AR/VR Developer,"Unity, Unreal Engine, C#, C++, 3D Modeling, XR Interaction Toolkit, OpenXR, Motion Tracking, Physics Simulation"
Research Scientist (AI),"Python, TensorFlow, PyTorch, Research Papers, Deep Learning, NLP, Data Analysis, Experimentation, Statistics"
Operations Manager,"Process Optimization, Resource Management, KPI Tracking, Supply Chain, Communication, Leadership, Strategic Planning"
HR Manager,"Recruitment, Payroll, Employee Relations, Communication, Performance Management, HR Analytics, Policies, Compliance"
Financial Analyst,"Excel, Power BI, Financial Modeling, Forecasting, Accounting, SQL, Data Visualization, Statistics, Budgeting"
Customer Support Executive,"Communication, CRM Tools, Problem Solving, Empathy, Product Knowledge, Ticket Management, Email Support"
Marketing Manager,"Campaign Management, SEO, Branding, Market Research, Budgeting, Communication, Data Analysis, Strategy"
Technical Writer,"Documentation, Research, Editing, API Documentation, MS Word, Markdown, Communication, Technical Understanding"
Automation Engineer,"PLC, SCADA, HMI, Control Systems, Sensors, Actuators, Robotics, Electrical Design, Troubleshooting"
Robotics Engineer,"C++, Python, ROS, Sensors, Actuators, Machine Vision, Kinematics, Control Systems, Path Planning"
Data Architect,"Database Design, SQL, ETL, Data Modeling, Big Data, Data Warehousing, Cloud Platforms, Hadoop, Spark"
